bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"13.39949565940872,52.39594638801756,13.52406546145061,52.49586748915782",uuuu,85633111,,2408281641e2957ccb1c6c19cdb3bdc7,,bfabb9455af326d66a0fbde0fe35d6ec,52.441082,13.454965,1108815547,uuuu,DE,DE,1507246141,52.440484,13.443664,101748799,Neukolln,101748799,110/881/554/7/1108815547.geojson,borough,85682499,ssuberlin,,,DE
"13.34755022281665,52.51992755285018,13.52301900950822,52.67550857858524",uuuu,85633111,,83f814176085e6767775d655b29d8385,,4e7e38e930229130f83a88ea21cc7311,52.597229,13.440279,1108815549,uuuu,DE,DE,1507246141,52.590515,13.434299,101748799,Pankow,101748799,110/881/554/9/1108815549.geojson,borough,85682499,ssuberlin,,,DE
"13.20161278414064,52.54880636410428,13.38927685483754,52.66073359962969",uuuu,85633111,,302c13bf02cfa9fc3fa82bea3a466092,,5d3b915dd1a34d0914706aa1b90fbfdf,52.595674,13.291344,1108815551,uuuu,DE,DE,1507246141,52.591439,13.284953,101748799,Reinickendorf,101748799,110/881/555/1/1108815551.geojson,borough,85682499,ssuberlin,,,DE
"13.109296356516,52.4396114376684,13.28227200938862,52.59877414343718",uuuu,85633111,,88cdea6bd77682d71be589f898609cf1,,5b685b048ecc6594a99fa50ade1ef205,52.525791,13.178819,1108815553,uuuu,DE,DE,1507246141,52.544354,13.186056,101748799,Spandau,101748799,110/881/555/3/1108815553.geojson,borough,85682499,ssuberlin,,,DE
"13.08835367820428,52.38723564212338,13.37162459420015,52.47181518698975",uuuu,85633111,,fdb660d19a41d77ff976568b1ae5ec7e,,094f892bd8c00b2385dfa6b198bb3c84,52.434843,13.239075,1108815555,uuuu,DE,DE,1507246141,52.436132,13.272296,101748799,Steglitz-Zehlendorf,101748799,110/881/555/5/1108815555.geojson,borough,85682499,ssuberlin,,,DE
"13.31998304233487,52.3761399123218,13.42746193837228,52.50496677661963",uuuu,85633111,,e438f1f27db33f03e29b912c121240a7,,70c234be7fe2dda2e70074e63f5869d6,52.441117,13.380739,1108815557,uuuu,DE,DE,1507246141,52.456016,13.388943,101748799,Tempelhof-Schoneberg,101748799,110/881/555/7/1108815557.geojson,borough,85682499,ssuberlin,,,DE
"13.43965471730573,52.33823881023583,13.76113111158096,52.49757623254297",uuuu,85633111,,14e949310714e995004d78f9e487bce2,,291b865c397f2704e65d5f63502cf564,52.429583,13.611210,1108815559,uuuu,DE,DE,1507246141,52.424291,13.624591,101748799,Treptow-Kopenick,101748799,110/881/555/9/1108815559.geojson,borough,85682499,ssuberlin,,,DE
"-0.21608848587412,51.48480106321509,-0.11110148539628,51.5397933092267",uuuu,85633159,,a2e82d53afd0e1abdb02c8df08b070af,,93f1269d6c2a14253ad075cabe40a42b,51.513899,-0.161304,1158857245,uuuu,GB,GB,1513913220,51.497991,-0.128750,101750367,Westminster,101750367,115/885/724/5/1158857245.geojson,borough,-1,gbr-datalondon,,"85866387,85684061,404435563",GB
"-0.111442547927871,51.42060913676056,-0.032237464941112,51.508625244665915",uuuu,85633159,,759afbb47a58dab41b711847f6314423,,60eb8bc4013266c6fdbd02c2d0b14bba,51.473146,-0.074602,1158857247,uuuu,GB,GB,1513913226,51.486392,-0.079235,101750367,Southwark,101750367,115/885/724/7/1158857247.geojson,borough,-1,gbr-datalondon,,"85866375,85684289,404440975",GB
"-0.151231399267392,51.41099109196113,-0.078306682399956,51.508440711528664",uuuu,85633159,,1bb0012c62c0927a0a53e0a1d74598f4,,d5881b0c1cb68d1bd5b2e1326d57faa6,51.453089,-0.118279,1158857249,uuuu,GB,GB,1513913231,51.496102,-0.116494,101750367,Lambeth,101750367,115/885/724/9/1158857249.geojson,borough,-1,gbr-datalondon,,"85866379,85684533,404432059",GB
